ID_BIKEST,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,CAPACITY,LONGITUDE,LATITUDE
39,1,Centro,http://www.wikidata.org/entity/Q1763376,11,Palacio,http://www.wikidata.org/entity/Q2136510,PLAZA DE LA CEBADA,16,27,-3.7090043,40.4112662
40,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,CALLE DEL CONDE DE ROMANONES,2,24,-3.7047463,40.4137865
41,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,CALLE DE ATOCHA,56,18,-3.6989898,40.412228
42,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,CALLE DE SANTA ISABEL,32,24,-3.6982294,40.4107714
43,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,CALLE DE LAVAPIES,36,24,-3.7025446,40.4100889
44,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,CALLE DEL MESON DE PAREDES,35,21,-3.7039138,40.4098162
45,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,GLORIETA DE LA PUERTA DE TOLEDO,1,21,-3.7111381,40.4069486
46,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,22,Las Acacias,http://www.wikidata.org/entity/Q3319190,CALLE DE LA RIBERA DE CURTIDORES,28,24,-3.7071178,40.4054496
47,2,Arganzuela,http://www.wikidata.org/entity/Q2000929,22,Las Acacias,http://www.wikidata.org/entity/Q3319190,GLORIETA DE EMBAJADORES,7,24,-3.702755,40.4046233
48,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,GLORIETA DE EMBAJADORES,2,24,-3.7020997,40.4054473
49,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,RONDA DE ATOCHA,36,24,-3.6992427,40.4060497
50,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,CALLE DE SANTA ISABEL,57,24,-3.69322,40.4083102
51,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,PLAZA DEL EMPERADOR CARLOS V,7,27,-3.6935934,40.4077234
52,1,Centro,http://www.wikidata.org/entity/Q1763376,13,Cortes,http://www.wikidata.org/entity/Q2535637,PLAZA DE SANTA ANA,9,24,-3.7007838,40.4145181
53,1,Centro,http://www.wikidata.org/entity/Q1763376,12,Embajadores,http://www.wikidata.org/entity/Q2449844,CALLE DE VALENCIA,2,24,-3.7007295,40.4082802
54,1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319,CALLE DE BARCELO,7,21,-3.7003435,40.4266233
55,1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767,PLAZA DE SAN ILDEFONSO,8,24,-3.7019295,40.4240716
56,1,Centro,http://www.wikidata.org/entity/Q1763376,16,Sol,http://www.wikidata.org/entity/Q2465181,PLAZA DEL CARMEN,1,24,-3.7032875,40.418484
57,1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767,CALLE DE SANTA CRUZ DE MARCENADO,24,24,-3.7128181,40.4296363
58,1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319,CALLE DE AUGUSTO FIGUEROA,33,24,-3.6979458,40.4222601
59,1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767,CALLE DEL ESPIRITU SANTO,30,21,-3.7041167,40.4254802
60,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,PLAZA DE LA INDEPENDENCIA,7,24,-3.6881994,40.4194508
61,3,Retiro,http://www.wikidata.org/entity/Q2002296,34,Ibiza,http://www.wikidata.org/entity/Q15249910,CALLE DE O'DONNELL,30,24,-3.675206,40.4214379
62,3,Retiro,http://www.wikidata.org/entity/Q2002296,34,Ibiza,http://www.wikidata.org/entity/Q15249910,CALLE DE O'DONNELL,48,24,-3.6724223,40.4212986
63,3,Retiro,http://www.wikidata.org/entity/Q2002296,34,Ibiza,http://www.wikidata.org/entity/Q15249910,CALLE DE IBIZA,64,24,-3.6706508,40.4178926
65,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,CALLE DE ANTONIO MAURA,15,24,-3.6893825,40.4166859
67,1,Centro,http://www.wikidata.org/entity/Q1763376,13,Cortes,http://www.wikidata.org/entity/Q2535637,CALLE DE ALMADEN,28,24,-3.6931349,40.410829
68,3,Retiro,http://www.wikidata.org/entity/Q2002296,35,Jerónimos,http://www.wikidata.org/entity/Q10306766,CALLE DE ESPALTER,1,21,-3.6911649,40.412781
