ID,HOOD_ID,STREET,CAPACITY,LONGITUDE,LATITUDE
219,143,CALLE DEL CAMINO DE LOS VINATEROS,24,-3.6467783,40.4083961
220,144,CALLE DEL ARROYO DE LAS PILILLAS,24,-3.6514264,40.4061548
221,141,CALLE DE LA HACIENDA DE PAVONES,24,-3.6346859,40.4004579
222,125,CALLE DE EUGENIO CAXES,24,-3.7026887,40.3917816
223,101,PASEO DE LA ERMITA DEL SANTO,24,-3.7245226,40.4064341
224,102,CALLE DE CARAMUEL,24,-3.7288262,40.408882
225,136,CALLE DE LA SIERRA TOLEDANA,24,-3.6601933,40.4026388
226,136,CAMINO DE VALDERRIBAS,24,-3.6606789,40.3991986
227,132,CALLE DEL ARROYO DEL OLIVAR,24,-3.6661421,40.3940355
228,111,CALLE DE SAN DELFIN,24,-3.7080437,40.3943842
229,154,CALLE DE JOSE DEL HIERRO,24,-3.6486507,40.4370782
230,155,CALLE DE CARLOTA O'NEILL,24,-3.6491034,40.4436986
231,155,CALLE DE LOS DERECHOS HUMANOS,24,-3.6558172,40.439748
232,151,CALLE DE JOSE MARIA PEREDA,24,-3.6485701,40.4328362
233,151,AVENIDA DEL MARQUES DE CORBERA,24,-3.655633,40.4229144
234,151,AVENIDA DEL MARQUES DE CORBERA,24,-3.651125,40.426163
235,24,CALLE DEL SODIO,24,-3.6911834,40.3889853
236,21,PASEO IMPERIAL,24,-3.7171449,40.4074236
237,61,CALLE DE FRANCISCO BALSEIRO,24,-3.7105146,40.451395
238,62,CALLE DE SAN GERMÁN,24,-3.6932474,40.4562183
239,66,CALLE DE FRANCOS RODRIGUEZ,24,-3.7079276,40.4567345
240,44,AVENIDA DE BRASILIA,24,-3.6609886,40.4367138
241,44,AVENIDA DE CAMILO JOSE CELA,24,-3.6677796,40.4377568
242,44,AVENIDA DE BRUSELAS,24,-3.6629058,40.4394662
243,44,CALLE DE CARTAGENA,24,-3.6700894,40.4351648
244,76,CALLE DE ISAAC PERAL,24,-3.7175468,40.4398513
245,72,CALLE DE GALILEO,24,-3.7101726,40.4364656
246,73,CALLE DE SANTA ENGRACIA,24,-3.699252,40.436026
247,75,CALLE DE ZURBANO,24,-3.692843,40.4383672
248,85,CALLE DE SINESIO DELGADO,24,-3.6878414,40.4743243
249,56,PASEO DE LA CASTELLANA,24,-3.6852959,40.4794159
250,51,CALLE DE SERRANO,24,-3.6861,40.4408151
251,52,CALLE DE SANTA HORTENSIA,24,-3.6668532,40.444183
252,56,CALLE DE RODRIGUEZ JAEN,24,-3.6839094,40.4715645
253,54,CALLE DEL DOCTOR FLEMING,24,-3.688443,40.455606
254,55,AVENIDA DE PIO XII,24,-3.6765549,40.4610436
255,55,CALLE DEL GENERAL LOPEZ POZAS,24,-3.6851815,40.4637286
256,93,CALLE DE BEATRIZ DE BOBADILLA,24,-3.7138353,40.4463599
257,93,AVENIDA DE JUAN DE HERRERA,24,-3.73029,40.438804
258,93,AVENIDA COMPLUTENSE,24,-3.7273004,40.449019
259,93,PLAZA DE RAMON Y CAJAL,24,-3.727031,40.4444176
260,93,CALLE DE JOSE ANTONIO NOVAIS,24,-3.7272637,40.4482316
261,93,AVENIDA COMPLUTENSE,24,-3.7292576,40.4505032
